orientation,household,decoration,residence_id,unit_price,house_type,property_type,residence_url,house_owner,mortgage,area,elevator,build_type,heating_style,structure,lj_num,total_floor,crawl_time,listing_date,last_deal,house_backup,inner_area,total_price,build_struct,ring_num,url,house_age,floor,house_type_struct
南 北,一梯两户,其他,0,17924,普通住宅,商品房,,暂无数据,暂无数据,133.9㎡,暂无数据,暂无数据,,3室2厅1厨2卫,103101744351,16,2017-09-21 14:00:29,2017-09-20,暂无数据,未上传房本照片,暂无数据,240,未知结构, ,https://hf.lianjia.com/ershoufang/103101744351.html,暂无数据,低楼层,暂无数据
南,一梯两户,其他,0,12950,普通住宅,暂无数据,,非共有,暂无数据,194.6㎡,暂无数据,暂无数据,,4室2厅1厨1卫,103101742008,18,2017-09-21 14:00:35,2017-09-20,2008-07-29,已上传房本照片,暂无数据,252,未知结构, ,https://hf.lianjia.com/ershoufang/103101742008.html,暂无数据,低楼层,暂无数据
南,一梯四户,其他,0,16691,普通住宅,商品房,,暂无数据,暂无数据,89.87㎡,暂无数据,暂无数据,,2室2厅1厨1卫,103101742518,30,2017-09-21 14:00:36,2017-09-20,暂无数据,未上传房本照片,暂无数据,150,未知结构, ,https://hf.lianjia.com/ershoufang/103101742518.html,暂无数据,中楼层,暂无数据
南,一梯十四户,其他,0,15092,普通住宅,商品房,,暂无数据,暂无数据,66.26㎡,暂无数据,暂无数据,,2室1厅1厨1卫,103101745783,33,2017-09-21 14:00:36,2017-09-21,暂无数据,未上传房本照片,暂无数据,100,未知结构, ,https://hf.lianjia.com/ershoufang/103101745783.html,暂无数据,低楼层,暂无数据
南 北,一梯六户,其他,0,16610,普通住宅,商品房,,暂无数据,暂无数据,117.4㎡,暂无数据,塔楼,,3室2厅1厨1卫,103101745449,32,2017-09-21 14:00:36,2017-09-21,暂无数据,未上传房本照片,暂无数据,195,未知结构, ,https://hf.lianjia.com/ershoufang/103101745449.html,暂无数据,高楼层,暂无数据
西北,一梯十二户,其他,0,10769,普通住宅,商品房,,暂无数据,暂无数据,65㎡,暂无数据,塔楼,,1室1厅1厨1卫,103101745981,32,2017-09-21 14:00:36,2017-09-21,暂无数据,未上传房本照片,暂无数据,70,未知结构, ,https://hf.lianjia.com/ershoufang/103101745981.html,暂无数据,低楼层,暂无数据
南,四梯二十三户,其他,0,14377,普通住宅,商品房,,暂无数据,暂无数据,73.73㎡,有,板楼,,2室1厅1厨1卫,103101745086,30,2017-09-21 14:01:07,2017-09-21,暂无数据,未上传房本照片,暂无数据,106,钢混结构, ,https://hf.lianjia.com/ershoufang/103101745086.html,暂无数据,高楼层,暂无数据
南,一梯三户,其他,0,17686,普通住宅,商品房,,暂无数据,暂无数据,135.7㎡,暂无数据,暂无数据,,4室2厅1厨2卫,103101743953,28,2017-09-21 14:01:08,2017-09-20,暂无数据,未上传房本照片,暂无数据,240,钢混结构, ,https://hf.lianjia.com/ershoufang/103101743953.html,暂无数据,低楼层,暂无数据
南,四梯二十三户,其他,0,15116,普通住宅,商品房,,暂无数据,暂无数据,43㎡,有,板楼,,1室1厅1厨1卫,103101742432,30,2017-09-21 14:01:09,2017-09-20,暂无数据,未上传房本照片,暂无数据,65,钢混结构, ,https://hf.lianjia.com/ershoufang/103101742432.html,暂无数据,高楼层,暂无数据
南,一梯四户,其他,0,16352,普通住宅,商品房,,暂无数据,暂无数据,89.9㎡,暂无数据,塔楼,,2室2厅1厨1卫,103101742771,24,2017-09-21 14:01:09,2017-09-20,暂无数据,未上传房本照片,暂无数据,147,钢混结构, ,https://hf.lianjia.com/ershoufang/103101742771.html,暂无数据,中楼层,暂无数据
南,一梯十五户,其他,0,15060,普通住宅,商品房,,暂无数据,暂无数据,53.12㎡,暂无数据,板塔结合,,2室1厅1厨1卫,103101744142,28,2017-09-21 14:01:09,2017-09-20,暂无数据,未上传房本照片,暂无数据,80,钢混结构, ,https://hf.lianjia.com/ershoufang/103101744142.html,暂无数据,高楼层,暂无数据
南,一梯八户,其他,0,14925,普通住宅,回迁房,,暂无数据,暂无数据,67㎡,暂无数据,暂无数据,,2室1厅1厨1卫,103101745778,18,2017-09-21 14:01:09,2017-09-21,暂无数据,未上传房本照片,暂无数据,100,未知结构, ,https://hf.lianjia.com/ershoufang/103101745778.html,暂无数据,高楼层,暂无数据
南,一梯三户,其他,0,14530,普通住宅,商品房,,暂无数据,暂无数据,117㎡,暂无数据,塔楼,,3室2厅1厨1卫,103101743571,31,2017-09-21 14:01:10,2017-09-20,暂无数据,未上传房本照片,暂无数据,170,钢混结构, ,https://hf.lianjia.com/ershoufang/103101743571.html,暂无数据,中楼层,暂无数据
南,一梯十四户,其他,0,16000,普通住宅,商品房,,暂无数据,暂无数据,50㎡,暂无数据,暂无数据,,1室1厅1厨1卫,103101744425,31,2017-09-21 14:01:17,2017-09-20,暂无数据,未上传房本照片,暂无数据,80,未知结构, ,https://hf.lianjia.com/ershoufang/103101744425.html,暂无数据,高楼层,暂无数据
东,一梯二十四户,其他,0,19358,普通住宅,商品房,,非共有,暂无数据,55.79㎡,暂无数据,塔楼,,1室2厅1厨1卫,103101741602,28,2017-09-21 14:01:20,2017-09-20,2014-10-14,已上传房本照片,40.15㎡,108,钢混结构, ,https://hf.lianjia.com/ershoufang/103101741602.html,满两年,中楼层,暂无数据
南 北,一梯七户,其他,0,21605,普通住宅,商品房,,暂无数据,暂无数据,81㎡,暂无数据,暂无数据,,2室2厅1厨1卫,103101741980,17,2017-09-21 14:01:20,2017-09-20,暂无数据,未上传房本照片,暂无数据,175,未知结构, ,https://hf.lianjia.com/ershoufang/103101741980.html,暂无数据,高楼层,暂无数据
南,一梯八户,其他,0,15195,普通住宅,经济适用房,,非共有,暂无数据,62.52㎡,暂无数据,暂无数据,,2室1厅1厨1卫,103101742169,26,2017-09-21 14:01:20,2017-09-20,2011-12-31,已上传房本照片,暂无数据,95,未知结构, ,https://hf.lianjia.com/ershoufang/103101742169.html,满五年,低楼层,暂无数据
北,一梯二十三户,其他,0,21522,普通住宅,商品房,,暂无数据,暂无数据,38.1㎡,暂无数据,板塔结合,,1室1厅1厨1卫,103101742231,33,2017-09-21 14:01:20,2017-09-20,暂无数据,未上传房本照片,暂无数据,82,钢混结构, ,https://hf.lianjia.com/ershoufang/103101742231.html,暂无数据,低楼层,暂无数据
南,一梯十八户,其他,0,11575,普通住宅,商品房,,暂无数据,暂无数据,160.69㎡,暂无数据,塔楼,,3室2厅1厨1卫,103101742262,28,2017-09-21 14:01:21,2017-09-20,暂无数据,未上传房本照片,暂无数据,186,钢混结构, ,https://hf.lianjia.com/ershoufang/103101742262.html,暂无数据,中楼层,暂无数据
西北,一梯十六户,其他,0,17096,普通住宅,商品房,,暂无数据,暂无数据,36.85㎡,暂无数据,板塔结合,,1室1厅1厨1卫,103101742900,18,2017-09-21 14:01:21,2017-09-20,暂无数据,未上传房本照片,暂无数据,63,钢混结构, ,https://hf.lianjia.com/ershoufang/103101742900.html,暂无数据,中楼层,暂无数据
南,一梯四户,其他,0,13056,普通住宅,商品房,,暂无数据,暂无数据,180㎡,暂无数据,板楼,,3室2厅1厨2卫,103101742985,28,2017-09-21 14:01:21,2017-09-20,暂无数据,未上传房本照片,暂无数据,235,未知结构, ,https://hf.lianjia.com/ershoufang/103101742985.html,暂无数据,中楼层,暂无数据
南,一梯十户,其他,0,17391,普通住宅,商品房,,暂无数据,暂无数据,46㎡,暂无数据,塔楼,,1室0厅0厨1卫,103101742971,24,2017-09-21 14:01:21,2017-09-20,暂无数据,未上传房本照片,暂无数据,80,钢混结构, ,https://hf.lianjia.com/ershoufang/103101742971.html,暂无数据,高楼层,暂无数据
南,一梯十六户,其他,0,15541,普通住宅,商品房,,暂无数据,暂无数据,61.13㎡,暂无数据,塔楼,,1室1厅1厨1卫,103101743044,30,2017-09-21 14:01:22,2017-09-20,暂无数据,未上传房本照片,暂无数据,95,钢混结构, ,https://hf.lianjia.com/ershoufang/103101743044.html,暂无数据,中楼层,暂无数据
南 北,一梯两户,其他,0,17607,普通住宅,商品房,,暂无数据,暂无数据,83.49㎡,暂无数据,暂无数据,,3室1厅1厨1卫,103101742851,6,2017-09-21 14:01:22,2017-09-20,暂无数据,未上传房本照片,暂无数据,147,未知结构, ,https://hf.lianjia.com/ershoufang/103101742851.html,暂无数据,中楼层,暂无数据
南,一梯三户,其他,0,20690,普通住宅,商品房,,暂无数据,暂无数据,87㎡,暂无数据,塔楼,,2室2厅1厨1卫,103101744073,30,2017-09-21 14:01:22,2017-09-20,暂无数据,未上传房本照片,暂无数据,180,钢混结构, ,https://hf.lianjia.com/ershoufang/103101744073.html,暂无数据,低楼层,暂无数据
南,一梯四户,其他,0,21898,普通住宅,商品房,,暂无数据,暂无数据,82.2㎡,暂无数据,板塔结合,,3室2厅1厨1卫,103101743256,34,2017-09-21 14:01:22,2017-09-20,暂无数据,未上传房本照片,65.12㎡,180,钢混结构, ,https://hf.lianjia.com/ershoufang/103101743256.html,暂无数据,中楼层,暂无数据
南,一梯两户,其他,0,12755,普通住宅,商品房,,暂无数据,暂无数据,196㎡,暂无数据,板楼,,4室2厅1厨2卫,103101743758,6,2017-09-21 14:01:22,2017-09-20,暂无数据,未上传房本照片,暂无数据,250,钢混结构, ,https://hf.lianjia.com/ershoufang/103101743758.html,暂无数据,高楼层,暂无数据
南 北,一梯三户,其他,0,13851,普通住宅,商品房,,暂无数据,暂无数据,145.12㎡,暂无数据,板楼,,3室2厅1厨2卫,103101744428,29,2017-09-21 14:01:23,2017-09-20,暂无数据,未上传房本照片,暂无数据,201,未知结构, ,https://hf.lianjia.com/ershoufang/103101744428.html,暂无数据,中楼层,暂无数据
南,一梯四户,其他,0,22305,普通住宅,商品房,,暂无数据,暂无数据,80.7㎡,暂无数据,板塔结合,,3室2厅1厨1卫,103101744839,33,2017-09-21 14:01:23,2017-09-20,暂无数据,未上传房本照片,暂无数据,180,钢混结构, ,https://hf.lianjia.com/ershoufang/103101744839.html,暂无数据,高楼层,暂无数据
东,一梯四户,其他,0,23114,普通住宅,商品房,,暂无数据,暂无数据,82.2㎡,暂无数据,板塔结合,,2室1厅1厨1卫,103101745861,34,2017-09-21 14:01:23,2017-09-21,暂无数据,未上传房本照片,暂无数据,190,钢混结构, ,https://hf.lianjia.com/ershoufang/103101745861.html,暂无数据,中楼层,暂无数据
南,一梯四户,其他,0,19492,普通住宅,商品房,,暂无数据,暂无数据,89.78㎡,暂无数据,塔楼,,3室2厅1厨1卫,103101745730,34,2017-09-21 14:01:23,2017-09-21,暂无数据,未上传房本照片,暂无数据,175,钢混结构, ,https://hf.lianjia.com/ershoufang/103101745730.html,暂无数据,中楼层,暂无数据
南 北,一梯两户,其他,0,18316,普通住宅,商品房,,暂无数据,暂无数据,155.6㎡,暂无数据,板楼,,3室2厅1厨2卫,103101745919,10,2017-09-21 14:01:24,2017-09-21,暂无数据,未上传房本照片,暂无数据,285,钢混结构, ,https://hf.lianjia.com/ershoufang/103101745919.html,暂无数据,中楼层,暂无数据
南 北,一梯三户,其他,0,14490,普通住宅,商品房,,暂无数据,暂无数据,144.93㎡,暂无数据,板楼,,3室2厅1厨2卫,103101745979,28,2017-09-21 14:01:24,2017-09-21,暂无数据,未上传房本照片,暂无数据,210,未知结构, ,https://hf.lianjia.com/ershoufang/103101745979.html,暂无数据,高楼层,暂无数据
南,一梯五户,其他,0,12364,普通住宅,商品房,,暂无数据,暂无数据,68.75㎡,暂无数据,板塔结合,,2室1厅1厨1卫,103101745744,25,2017-09-21 14:01:31,2017-09-21,暂无数据,未上传房本照片,暂无数据,85,钢混结构, ,https://hf.lianjia.com/ershoufang/103101745744.html,暂无数据,低楼层,暂无数据
南,一梯两户,其他,0,14012,普通住宅,商品房,,暂无数据,暂无数据,92.78㎡,暂无数据,板塔结合,,2室2厅1厨1卫,103101742205,11,2017-09-21 14:01:37,2017-09-20,暂无数据,未上传房本照片,暂无数据,130,钢混结构, ,https://hf.lianjia.com/ershoufang/103101742205.html,暂无数据,中楼层,暂无数据
南,一梯五户,其他,0,13529,普通住宅,暂无数据,,暂无数据,暂无数据,85㎡,暂无数据,暂无数据,,2室2厅1厨1卫,103101744129,18,2017-09-21 14:01:38,2017-09-20,暂无数据,未上传房本照片,暂无数据,115,未知结构, ,https://hf.lianjia.com/ershoufang/103101744129.html,暂无数据,低楼层,暂无数据
东,一梯二十一户,其他,0,15494,普通住宅,商品房,,暂无数据,暂无数据,46.47㎡,暂无数据,板楼,,1室1厅1厨1卫,103101743943,30,2017-09-21 14:01:44,2017-09-20,暂无数据,未上传房本照片,暂无数据,72,未知结构, ,https://hf.lianjia.com/ershoufang/103101743943.html,暂无数据,低楼层,暂无数据
南,一梯两户,其他,0,13036,普通住宅,商品房,,暂无数据,暂无数据,112㎡,暂无数据,暂无数据,,3室2厅1厨1卫,103101742794,18,2017-09-21 14:01:44,2017-09-20,暂无数据,未上传房本照片,暂无数据,146,未知结构, ,https://hf.lianjia.com/ershoufang/103101742794.html,暂无数据,中楼层,暂无数据
南,一梯两户,其他,0,11538,普通住宅,已购公房,,暂无数据,暂无数据,65㎡,暂无数据,暂无数据,,2室2厅1厨1卫,103101741982,4,2017-09-21 14:01:44,2017-09-20,暂无数据,未上传房本照片,暂无数据,75,未知结构, ,https://hf.lianjia.com/ershoufang/103101741982.html,暂无数据,中楼层,暂无数据
南,一梯三户,其他,0,13537,普通住宅,回迁房,,暂无数据,暂无数据,103.42㎡,暂无数据,暂无数据,,3室2厅1厨1卫,103101742390,18,2017-09-21 14:01:44,2017-09-20,暂无数据,未上传房本照片,暂无数据,140,未知结构, ,https://hf.lianjia.com/ershoufang/103101742390.html,暂无数据,低楼层,暂无数据
南,一梯两户,其他,0,13483,普通住宅,商品房,,暂无数据,暂无数据,92.71㎡,暂无数据,板楼,,2室2厅1厨1卫,103101744087,6,2017-09-21 14:01:44,2017-09-20,暂无数据,未上传房本照片,暂无数据,125,钢混结构, ,https://hf.lianjia.com/ershoufang/103101744087.html,暂无数据,中楼层,暂无数据
南,一梯七户,其他,0,15451,普通住宅,商品房,,暂无数据,暂无数据,80.9㎡,暂无数据,板楼,,2室1厅1厨1卫,103101745891,18,2017-09-21 14:01:44,2017-09-21,暂无数据,未上传房本照片,暂无数据,125,钢混结构, ,https://hf.lianjia.com/ershoufang/103101745891.html,暂无数据,高楼层,暂无数据
南 北,一梯三户,其他,0,18227,普通住宅,商品房,,暂无数据,暂无数据,68.58㎡,有,塔楼,,2室2厅1厨1卫,103101746098,11,2017-09-21 14:01:45,2017-09-21,暂无数据,未上传房本照片,暂无数据,125,钢混结构, ,https://hf.lianjia.com/ershoufang/103101746098.html,暂无数据,高楼层,暂无数据
南,一梯两户,其他,0,13614,普通住宅,商品房,,暂无数据,暂无数据,84.47㎡,暂无数据,暂无数据,,2室2厅1厨1卫,103101746165,6,2017-09-21 14:01:45,2017-09-21,暂无数据,未上传房本照片,暂无数据,115,未知结构, ,https://hf.lianjia.com/ershoufang/103101746165.html,暂无数据,低楼层,暂无数据
南,两梯四户,其他,0,16484,普通住宅,商品房,,非共有,暂无数据,81.9㎡,有,板楼,,2室2厅1厨1卫,103101742076,34,2017-09-21 14:01:52,2017-09-20,2012-02-22,已上传房本照片,暂无数据,135,钢混结构, ,https://hf.lianjia.com/ershoufang/103101742076.html,满五年,高楼层,暂无数据
南 北,一梯四户,其他,0,10923,普通住宅,商品房,,暂无数据,暂无数据,130㎡,暂无数据,板塔结合,,3室2厅1厨1卫,103101745629,30,2017-09-21 14:02:12,2017-09-21,暂无数据,未上传房本照片,暂无数据,142,钢混结构, ,https://hf.lianjia.com/ershoufang/103101745629.html,暂无数据,低楼层,暂无数据
北,一梯二十九户,其他,0,14295,普通住宅,商品房,,暂无数据,暂无数据,30.08㎡,暂无数据,板楼,,1室1厅1厨1卫,103101742637,23,2017-09-21 14:02:22,2017-09-20,暂无数据,未上传房本照片,暂无数据,43,未知结构, ,https://hf.lianjia.com/ershoufang/103101742637.html,暂无数据,中楼层,暂无数据
南 北,一梯三户,其他,0,14000,普通住宅,商品房,,暂无数据,暂无数据,110㎡,暂无数据,板楼,,3室2厅1厨1卫,103101741544,11,2017-09-21 14:02:22,2017-09-20,暂无数据,未上传房本照片,暂无数据,154,未知结构, ,https://hf.lianjia.com/ershoufang/103101741544.html,暂无数据,低楼层,暂无数据
南,一梯四户,其他,0,15657,普通住宅,商品房,,暂无数据,暂无数据,83.03㎡,暂无数据,板楼,,2室2厅1厨1卫,103101745604,34,2017-09-21 14:02:23,2017-09-21,暂无数据,未上传房本照片,暂无数据,130,钢混结构, ,https://hf.lianjia.com/ershoufang/103101745604.html,暂无数据,高楼层,暂无数据
南,一梯两户,其他,0,15430,普通住宅,商品房,,暂无数据,暂无数据,84.25㎡,暂无数据,暂无数据,,2室2厅1厨1卫,103101743000,6,2017-09-21 14:02:23,2017-09-20,暂无数据,未上传房本照片,暂无数据,130,未知结构, ,https://hf.lianjia.com/ershoufang/103101743000.html,暂无数据,低楼层,暂无数据
南,一梯十七户,其他,0,17674,普通住宅,商品房,,暂无数据,暂无数据,56.58㎡,暂无数据,板楼,,2室2厅1厨1卫,103101745624,32,2017-09-21 14:02:23,2017-09-21,暂无数据,未上传房本照片,暂无数据,100,未知结构, ,https://hf.lianjia.com/ershoufang/103101745624.html,暂无数据,低楼层,暂无数据
南,一梯两户,其他,0,16517,普通住宅,商品房,,暂无数据,暂无数据,89㎡,暂无数据,板塔结合,,3室2厅1厨1卫,103101741999,6,2017-09-21 14:02:30,2017-09-20,暂无数据,未上传房本照片,暂无数据,147,钢混结构, ,https://hf.lianjia.com/ershoufang/103101741999.html,暂无数据,中楼层,暂无数据
南 北,一梯两户,其他,0,14211,普通住宅,商品房,,暂无数据,暂无数据,89.37㎡,暂无数据,板塔结合,,2室2厅1厨1卫,103101743678,6,2017-09-21 14:02:30,2017-09-20,暂无数据,未上传房本照片,暂无数据,127,钢混结构, ,https://hf.lianjia.com/ershoufang/103101743678.html,暂无数据,低楼层,暂无数据
南,一梯四户,其他,0,15464,普通住宅,商品房,,暂无数据,暂无数据,97㎡,暂无数据,暂无数据,,3室2厅1厨1卫,103101744920,34,2017-09-21 14:02:30,2017-09-21,暂无数据,未上传房本照片,暂无数据,150,未知结构, ,https://hf.lianjia.com/ershoufang/103101744920.html,暂无数据,高楼层,暂无数据
南,一梯四户,其他,0,14026,普通住宅,商品房,,暂无数据,暂无数据,89.12㎡,暂无数据,板塔结合,,2室2厅1厨1卫,103101745408,18,2017-09-21 14:02:30,2017-09-21,暂无数据,未上传房本照片,暂无数据,125,钢混结构, ,https://hf.lianjia.com/ershoufang/103101745408.html,暂无数据,低楼层,暂无数据
南 北,一梯两户,其他,0,14743,普通住宅,商品房,,暂无数据,暂无数据,88.18㎡,暂无数据,板塔结合,,2室2厅1厨1卫,103101745984,6,2017-09-21 14:02:31,2017-09-21,暂无数据,未上传房本照片,暂无数据,130,钢混结构, ,https://hf.lianjia.com/ershoufang/103101745984.html,暂无数据,高楼层,暂无数据
南,一梯四户,其他,0,16026,普通住宅,商品房,,共有,暂无数据,78㎡,暂无数据,板楼,,2室2厅1厨1卫,103101742923,24,2017-09-21 14:02:37,2017-09-20,2015-07-30,已上传房本照片,70㎡,125,未知结构, ,https://hf.lianjia.com/ershoufang/103101742923.html,满两年,中楼层,暂无数据
南 北,一梯五户,其他,0,16489,普通住宅,商品房,,暂无数据,暂无数据,94㎡,暂无数据,塔楼,,3室2厅1厨1卫,103101743459,33,2017-09-21 14:02:37,2017-09-20,暂无数据,未上传房本照片,暂无数据,155,未知结构, ,https://hf.lianjia.com/ershoufang/103101743459.html,暂无数据,低楼层,暂无数据
南,一梯四户,其他,0,15557,普通住宅,商品房,,非共有,暂无数据,89.99㎡,暂无数据,板楼,,2室2厅1厨1卫,103101743792,24,2017-09-21 14:02:37,2017-09-20,2017-01-15,已上传房本照片,暂无数据,140,未知结构, ,https://hf.lianjia.com/ershoufang/103101743792.html,暂无数据,高楼层,暂无数据
南,一梯六户,其他,0,17903,普通住宅,商品房,,暂无数据,暂无数据,86.58㎡,暂无数据,塔楼,,2室2厅1厨1卫,103101745143,18,2017-09-21 14:02:37,2017-09-21,暂无数据,未上传房本照片,暂无数据,155,钢混结构, ,https://hf.lianjia.com/ershoufang/103101745143.html,暂无数据,中楼层,暂无数据
南,一梯四户,其他,0,16535,普通住宅,商品房,,暂无数据,暂无数据,127㎡,暂无数据,塔楼,,3室2厅1厨2卫,103101744653,18,2017-09-21 14:02:37,2017-09-20,暂无数据,未上传房本照片,暂无数据,210,未知结构, ,https://hf.lianjia.com/ershoufang/103101744653.html,暂无数据,中楼层,暂无数据
南,一梯六户,其他,0,15944,普通住宅,商品房,,暂无数据,暂无数据,73.38㎡,暂无数据,塔楼,,2室2厅1厨1卫,103101745382,24,2017-09-21 14:02:38,2017-09-21,暂无数据,未上传房本照片,暂无数据,117,未知结构, ,https://hf.lianjia.com/ershoufang/103101745382.html,暂无数据,高楼层,暂无数据
南,一梯六户,其他,0,17740,普通住宅,商品房,,暂无数据,暂无数据,73.28㎡,暂无数据,塔楼,,2室2厅1厨1卫,103101745502,24,2017-09-21 14:02:38,2017-09-21,暂无数据,未上传房本照片,暂无数据,130,未知结构, ,https://hf.lianjia.com/ershoufang/103101745502.html,暂无数据,高楼层,暂无数据
南,一梯十户,其他,0,14694,普通住宅,商品房,,暂无数据,暂无数据,49㎡,暂无数据,板楼,,1室1厅1厨1卫,103101745917,24,2017-09-21 14:02:38,2017-09-21,暂无数据,未上传房本照片,暂无数据,72,未知结构, ,https://hf.lianjia.com/ershoufang/103101745917.html,暂无数据,低楼层,暂无数据
南,一梯四户,其他,0,10744,普通住宅,暂无数据,,暂无数据,暂无数据,84.7㎡,暂无数据,暂无数据,,2室2厅1厨1卫,103101742568,34,2017-09-21 14:02:42,2017-09-20,暂无数据,未上传房本照片,暂无数据,91,未知结构, ,https://hf.lianjia.com/ershoufang/103101742568.html,暂无数据,中楼层,暂无数据
南,一梯四户,其他,0,11294,普通住宅,商品房,,暂无数据,暂无数据,85㎡,暂无数据,板塔结合,,2室1厅1厨1卫,103101743029,33,2017-09-21 14:02:42,2017-09-20,暂无数据,未上传房本照片,暂无数据,96,钢混结构, ,https://hf.lianjia.com/ershoufang/103101743029.html,暂无数据,低楼层,暂无数据
南,一梯六户,其他,0,11256,普通住宅,商品房,,暂无数据,暂无数据,93.28㎡,暂无数据,暂无数据,,3室2厅1厨1卫,103101743559,30,2017-09-21 14:02:42,2017-09-20,暂无数据,未上传房本照片,暂无数据,105,未知结构, ,https://hf.lianjia.com/ershoufang/103101743559.html,暂无数据,低楼层,暂无数据
南,一梯四户,其他,0,12967,普通住宅,商品房,,暂无数据,暂无数据,91㎡,暂无数据,塔楼,,3室2厅1厨1卫,103101743845,35,2017-09-21 14:02:42,2017-09-20,暂无数据,未上传房本照片,暂无数据,118,砖混结构, ,https://hf.lianjia.com/ershoufang/103101743845.html,暂无数据,高楼层,暂无数据
